Info in <TCanvas::Print>: png file significance_ht0.png has been created
100 	 1449.39043872 	 0.942794924511
200 	 1449.39043872 	 0.942794924511
300 	 1449.39043872 	 0.942794924511
400 	 1449.39043872 	 0.942794924511
500 	 1399.17821193 	 0.939411019825
600 	 1292.79209947 	 0.931302968575
700 	 1167.38968232 	 0.919820308186
800 	 1048.43509725 	 0.906634335451
900 	 943.625137752 	 0.892968430018
1000 	 856.191490666 	 0.880289595103
1100 	 787.649638779 	 0.870329498614
1200 	 736.862470292 	 0.864395392691
1300 	 696.822423439 	 0.861944664275
1400 	 658.508421838 	 0.861469040053
1500 	 618.893002857 	 0.862315124929
1600 	 582.558871826 	 0.866146754741
1700 	 551.700474717 	 0.873398729878
1800 	 521.995287539 	 0.882031976899
1900 	 487.349919719 	 0.889369095569
2000 	 445.272396902 	 0.893870817961
2100 	 400.164966971 	 0.896483043733
2200 	 357.36466939 	 0.898343643353
2300 	 318.223302885 	 0.899715204902
2400 	 283.023732358 	 0.901075335832
2500 	 252.36201079 	 0.902064121996
2600 	 225.546160958 	 0.903544598364
2700 	 202.093680355 	 0.905603435905
2800 	 180.713604129 	 0.907249853424
2900 	 162.03524228 	 0.909106045501
3000 	 145.695264177 	 0.911147239397
3100 	 130.747321942 	 0.912756020815
3200 	 117.641184586 	 0.914340408661
3300 	 105.507544008 	 0.915796472792
3400 	 94.7606987795 	 0.91767425944
3500 	 85.1177562668 	 0.917901738642
3600 	 77.0069102178 	 0.918965666045
3700 	 69.4493537357 	 0.920363691486
3800 	 62.7993544451 	 0.922821679897
3900 	 56.1924726256 	 0.922925933871
4000 	 51.0126034847 	 0.925820099773
